0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,17,33,23,21,20,30,25,24,24,25,18,26,20,24,28,19,24,29,31,31,24,28,19,25,30,23,23,25,16,19,27,27,23,19,17,28,17,26,20,26,19,23,20,23,31,16,26,23,29,26,23,21,155,0,0,0,147,147,0,150,28,25,19,17,18,17,152,149,157,23,18,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,0,33,22,30,17,30,24,29,28,28,24,24,23,19,28,30,23,30,31,19,17,19,26,25,31,21,22,19,25,20,19,30,23,25,24,23,29,18,27,30,17,33,16,21,26,30,27,25,24,24,0,196,194,31,22,144,146,25,17,26,24,27,28,148,0,0,149,157,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,21,21,18,25,16,30,30,16,27,28,22,29,25,21,30,28,17,33,25,16,23,21,23,29,29,22,21,18,27,28,22,28,25,26,23,28,26,19,23,20,25,25,30,28,18,18,16,0,196,194,28,19,155,154,28,18,21,30,27,25,155,0,0,0,146,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,17,16,17,25,27,26,28,18,21,24,17,31,25,20,17,33,21,21,22,30,16,31,29,30,26,25,23,28,18,25,20,18,23,20,28,18,31,24,20,20,16,21,20,152,0,0,150,31,19,19,28,29,22,29,31,23,20,17,159,0,0,150,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,21,17,26,31,26,16,29,26,31,26,24,25,20,31,21,22,24,26,24,31,30,20,17,29,28,22,18,28,27,22,22,21,27,16,20,21,17,18,16,148,0,0,150,20,17,18,27,20,27,23,21,29,17,26,21,159,151,154,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,24,26,16,24,31,22,16,25,31,16,24,19,17,21,16,23,23,28,19,29,18,24,24,19,29,30,20,31,30,20,27,22,30,28,30,152,0,0,0,146,31,16,30,30,27,26,23,23,28,20,26,27,17,19,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,18,31,23,17,31,31,21,16,21,21,24,28,17,27,26,20,19,18,23,16,32,27,31,30,31,27,21,30,23,19,28,25,18,19,27,148,0,0,0,150,21,28,24,30,17,24,23,31,25,16,22,30,19,31,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,16,18,24,21,26,20,22,21,30,26,24,17,33,25,17,28,24,16,28,19,21,26,26,24,22,20,27,25,31,28,28,31,30,152,0,0,0,0,150,18,21,16,17,29,30,31,24,31,25,17,22,16,24,21,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24,25,26,29,23,21,22,24,22,31,26,19,23,26,31,27,31,25,21,23,31,25,18,24,24,31,21,23,29,25,152,0,0,0,0,0,0,153,17,26,29,27,16,24,25,18,27,28,17,16,25,21,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,17,18,22,19,26,27,25,18,17,24,28,20,16,22,19,27,21,28,16,29,27,26,31,20,18,30,25,26,28,144,0,0,0,0,0,0,0,153,26,20,29,23,18,152,145,145,157,28,16,17,21,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,17,18,21,18,21,27,21,31,22,31,17,24,23,30,28,23,20,16,18,26,28,19,23,24,29,22,156,0,0,0,0,0,0,0,0,146,23,21,25,29,18,144,0,0,0,149,153,27,23,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,21,21,25,17,23,31,19,28,26,24,27,17,23,29,25,31,27,21,22,31,21,25,25,152,0,0,0,0,0,0,0,0,0,146,23,23,16,25,19,155,0,0,0,0,146,28,26,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,16,26,25,23,22,24,28,27,18,29,18,17,16,31,27,24,26,28,16,23,21,31,156,0,0,0,0,0,0,0,0,0,0,146,22,16,23,18,26,27,144,0,0,0,146,31,18,29,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,27,21,18,16,30,27,18,26,28,28,19,19,18,28,31,29,30,28,16,156,0,0,0,0,0,0,0,0,0,0,0,150,18,30,16,19,21,21,155,0,0,0,158,28,18,23,23,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,31,28,31,26,20,25,23,20,17,28,19,19,23,25,21,24,23,152,0,0,0,0,0,0,0,0,0,0,0,0,0,157,30,17,30,30,26,17,155,147,154,26,21,20,16,21,27,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,18,29,23,21,16,25,17,31,23,31,27,23,30,23,22,25,148,0,0,0,0,0,0,0,0,0,0,0,0,0,146,31,22,17,33,19,28,19,17,28,22,22,18,19,25,25,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,31,16,32,16,28,19,20,20,28,25,28,20,26,22,22,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,18,16,24,19,30,22,30,31,17,19,19,17,24,30,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,23,29,27,23,23,29,22,30,28,17,21,27,24,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,20,23,24,30,23,26,29,27,30,22,30,23,19,22,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,20,26,20,20,27,16,23,31,20,20,24,16,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,21,18,30,16,26,26,24,23,26,24,28,19,27,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,23,26,25,27,24,19,30,18,18,20,26,22,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,25,28,19,22,16,25,31,16,18,22,27,29,28,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,20,18,22,25,26,30,25,22,22,31,18,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,29,22,21,22,24,30,25,23,19,31,22,22,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,22,22,27,30,25,18,28,20,23,21,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,27,24,20,18,25,23,30,17,24,20,17,23,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,28,30,28,31,24,26,29,27,20,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,16,24,31,25,17,29,16,27,21,22,17,25,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,24,21,28,23,27,30,21,22,20,27,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,24,27,25,25,152,149,153,25,16,23,18,30,23,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,21,20,30,25,27,19,31,30,31,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,25,31,19,28,155,0,0,149,153,23,24,28,28,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,17,26,30,22,20,27,17,24,26,18,16,159,0,0,0,0,0,0,0,0,151,147,147,0,0,0,157,18,29,31,24,144,0,0,146,21,24,23,18,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,23,27,28,28,17,16,24,19,18,29,155,0,0,0,0,0,0,146,24,16,22,144,0,0,0,157,22,21,22,155,151,0,146,30,16,31,23,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,21,17,19,18,27,18,24,16,29,25,24,159,147,0,0,0,0,158,24,28,25,159,0,0,0,146,30,27,29,22,21,159,154,28,25,17,20,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,26,16,18,23,29,20,23,21,23,26,18,31,26,155,147,151,158,24,19,30,29,20,155,0,0,0,157,16,31,31,29,30,24,18,22,31,20,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,16,20,24,16,17,33,24,25,29,17,33,24,18,19,31,31,23,22,20,31,16,22,144,0,0,0,153,21,18,25,27,16,30,31,26,20,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,27,30,17,25,27,22,27,26,22,31,18,22,17,20,30,26,17,16,27,25,18,31,159,0,0,0,146,25,19,17,18,25,29,19,24,30,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,33,22,31,21,21,31,27,20,26,25,21,20,20,27,31,30,17,31,17,23,16,21,159,0,0,0,157,17,30,25,18,24,27,30,31,29,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,22,26,22,22,22,16,24,21,24,25,27,23,30,17,23,25,21,17,18,26,21,22,155,0,0,146,27,29,30,21,30,22,29,17,23,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,20,31,26,30,27,17,25,28,17,22,19,25,21,27,20,19,21,28,23,16,31,21,0,204,194,22,25,28,29,22,25,19,16,26,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,21,20,21,17,20,19,25,21,26,24,27,21,31,27,31,24,18,31,26,18,17,24,0,204,194,25,18,28,29,22,21,24,17,27,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,27,20,30,19,28,31,29,24,20,18,31,29,20,22,19,27,23,28,28,26,29,156,0,0,146,31,23,17,23,21,23,29,16,29,22,17,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,19,30,29,20,30,16,18,18,20,27,18,30,18,31,20,30,31,22,31,25,25,155,0,0,146,19,25,20,19,27,20,20,24,27,30,19,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,29,22,28,18,19,28,21,30,30,31,27,26,20,31,18,16,27,31,28,17,23,25,144,0,146,16,29,20,26,22,24,25,29,25,16,18,16,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,16,31,21,25,22,26,31,16,21,26,27,21,23,30,27,16,22,23,17,31,29,28,148,0,0,149,153,19,30,19,25,26,22,18,30,25,29,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,23,28,26,29,27,21,24,23,31,30,27,22,29,25,25,24,25,25,19,16,24,27,159,0,0,0,0,149,153,21,30,28,24,29,30,25,26,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,28,27,17,25,21,30,21,28,26,16,25,22,21,18,29,20,16,24,26,29,18,19,148,0,0,0,0,0,157,17,26,28,30,19,28,17,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,19,31,24,30,30,19,23,17,21,17,22,21,22,20,29,28,24,29,19,21,19,148,0,0,0,0,0,0,157,20,17,28,29,27,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,23,19,24,20,30,16,32,29,18,26,30,29,22,20,18,21,28,29,18,20,26,148,0,0,0,0,0,0,0,157,18,25,29,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,31,16,30,25,31,28,20,22,18,29,21,24,16,20,18,18,18,31,17,28,26,155,0,0,0,0,0,0,0,146,31,28,28,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,32,20,23,25,28,27,29,25,19,26,24,25,29,21,26,28,16,25,28,31,24,27,23,144,0,0,0,0,0,0,0,157,26,21,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,26,24,20,29,26,29,19,22,30,30,30,18,25,19,31,26,23,16,19,30,22,31,28,144,0,0,0,0,0,0,0,158,23,19,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,17,19,24,20,18,20,24,19,19,25,19,27,16,29,23,20,23,29,27,25,23,26,19,155,0,0,0,0,0,0,146,21,23,19,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,22,20,28,21,27,24,16,31,24,23,23,17,24,20,29,27,16,28,25,25,20,31,17,16,148,0,0,0,0,0,158,19,17,18,31,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,23,27,30,30,29,21,18,25,26,29,17,26,28,26,18,19,27,26,24,25,21,24,21,156,0,0,0,0,0,146,22,22,20,19,19,18,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,26,30,18,26,29,29,17,25,28,31,22,17,37,16,27,30,17,22,26,27,24,30,152,0,0,0,0,0,0,158,24,23,19,22,28,16,28,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,18,22,16,23,30,21,22,31,31,21,18,25,18,31,26,27,27,25,18,28,152,0,0,0,0,0,0,146,18,18,17,29,26,21,17,28,26,17,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,19,19,22,22,23,31,27,20,27,20,22,25,24,30,29,27,20,31,31,144,0,0,0,0,0,0,158,24,31,26,27,16,28,26,19,18,18,25,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,30,31,17,24,22,21,22,27,22,29,31,17,27,19,22,16,30,26,21,144,0,0,0,0,0,150,29,29,29,16,25,31,16,18,27,18,20,29,16,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,22,27,17,27,23,23,16,18,18,22,22,16,28,21,25,30,30,20,156,0,0,0,0,0,0,158,18,17,26,28,26,25,22,21,26,19,16,29,21,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
